ID,Country,Name,Short Name,Type,Net Only Amount,VATIDRequired,Percents,Codes,Introduced At,Expired At
43136e14-4334-4ee8-bfe1-080634e631de,AT,Aufwand nicht steuerbar,VST n.sb.,RECLAIMABLE,,,,"BMD: 80r
DVO: 80r
RZL: 1/28",,
e77d686e-92f2-4c96-a5c1-b7c912327e90,AT,Aufwand RC Bauleistung,A RC 19/1a,RECLAIMABLE,NET ONLY,VAT-ID,[20],"BMD: 28
BMD: 29r
DATEV: 511r 20%
DATEV: 6511 20%
DVO: 28
DVO: 29r
RZL: 1/15
RZL: 1/16r",,
1fcc6bb6-d26a-4082-bf92-0c22bf1bd15f,AT,Aufwand RC Gas & Elektrizität,A RC 19/1c,RECLAIMABLE,NET ONLY,VAT-ID,[20],"BMD: 25
BMD: 26r
DATEV: 521r 20%
DATEV: 6521 20%
DVO: 25
DVO: 26r
RZL: 1/05
RZL: 1/06r",,
7108da6d-0dd9-4925-8de2-ce2c57c1801e,AT,Aufwand RC Schrott & Altmetall,A RC 19/1d Schrott,RECLAIMABLE,NET ONLY,VAT-ID,[20],"BMD: 58
BMD: 59r
DATEV: 526r 20%
DATEV: 6526 20%
DVO: 58
DVO: 59r
RZL: 1/26r
RZL: 1/27",,
aa3ea0e0-1ff4-4c13-b580-afc45eb9cc7c,AT,Aufwand RC Sicherungsübereignung,A RC 19/1b,RECLAIMABLE,NET ONLY,VAT-ID,[20],"BMD: 22
BMD: 23r
DATEV: 516r 20%
DATEV: 6516 20%
DVO: 22
DVO: 23r
RZL: 1/24r
RZL: 1/25",,
a071f63a-f8a4-4d6e-956e-4ad62ed6bcff,AT,Aufwand RC Treibhausgasemissionszertifikate,A RC 19/1e,RECLAIMABLE,NET ONLY,VAT-ID,[20],"BMD: 88
BMD: 89r
DATEV: 531r 20%
DATEV: 6531 20%
DVO: 88
DVO: 89r
RZL: 1/05r
RZL: 1/06",,
c9515810-78e5-4401-a55b-da76431a829d,AT,Aufwand sonstige Leistungen EU,A SL EU,RECLAIMABLE,NET ONLY,VAT-ID,[20],"BMD: 78
BMD: 79r
DATEV: 541r 20%
DATEV: 6541 20%
DVO: 78
DVO: 79r
RZL: 1/05r
RZL: 1/06",,
03b3a9fb-12f9-486e-8c2a-0e2fd658f5af,AT,Ausfuhrlieferungen,UST AL,PAYABLE,NET ONLY,,,"BMD: 5r
DATEV: 1r
DVO: 5r
RZL: 2",,
626772c4-87ee-4d97-9f56-6fb7017753e8,AT,Dienstleisutng iVm Ausfuhr,UST AL DL,PAYABLE,NET ONLY,,,"BMD: 20r
DATEV: 1r
DVO: 20r
RZL: 2/19",,
898cfd35-2c1f-4733-adc7-c934edd3e8a8,AT,Dreiecksgeschäft,UST DEG1,PAYABLE,NET ONLY,VAT-ID,,"BMD: 6r
DVO: 6r
RZL: 2/03",,
52eb0ebd-f5bf-490b-a495-f1d9279cefbb,AT,Dreiecksgeschäft (2er),VST DEG2,RECLAIMABLE,NET ONLY,VAT-ID,"[5, 10, 13, 20]","BMD: 11r
DVO: 11r
RZL: 3",,
9809d4d0-d2d0-47e0-b342-b6b65ff75582,AT,Dreiecksgeschäft (3er),VST DEG3,RECLAIMABLE,NET ONLY,VAT-ID,"[5, 10, 13, 20]","BMD: 92
BMD: 93r
DVO: 92
DVO: 93r
RZL: 1/07r
RZL: 1/08",,
b46b1b19-82d2-4d25-b777-b202bb6d13b3,AT,Einfuhrumsatzsteuer,EUST,RECLAIMABLE,,,"[5, 10, 13, 20]","BMD: 34r
DVO: 34r
RZL: 4",,
b510fee8-b2a4-48c5-b0b5-1e8310dbaeb8,AT,Einfuhrumsatzsteuer auf Abgabenkonto,EUST AK,RECLAIMABLE,,,"[5, 10, 13, 20]","BMD: 35r
DVO: 35r
RZL: 4/23",,
